loading,filter1,fill_na,joining,filter2,map_and_filter1
5169.72,373.42,46.91,712.74,302.94,195.52
5035.39,429.04,47.13,675.64,321.33,389.27
4951.33,388.25,46.27,702.60,308.99,200.15
5353.74,362.29,45.47,769.96,306.67,193.06
5144.61,420.15,49.88,683.18,528.40,197.17
5211.12,396.55,48.50,643.29,315.93,215.24
5284.17,359.47,45.04,655.49,316.64,209.20
5305.70,402.24,44.65,641.58,414.34,204.75
5631.54,393.74,57.92,738.74,339.16,204.56
5926.37,524.57,163.33,726.97,393.99,241.03
5876.95,505.38,51.74,880.26,375.73,259.31
5515.61,457.29,53.58,682.52,313.45,204.06
5113.11,404.03,44.08,731.02,333.32,220.31
5420.74,381.21,50.37,703.21,327.94,218.02
5442.26,434.07,50.69,737.45,345.79,225.79
5750.66,403.56,54.62,753.69,343.28,203.95
5359.95,386.93,47.35,728.47,314.82,212.31
5264.15,430.30,47.29,750.49,313.39,211.28
5250.66,402.54,47.40,706.23,320.74,217.84
5281.55,388.09,49.47,659.99,447.56,213.21
