loading,filter1,fill_na,joining,filter2,map_and_filter1
6061.74,361.23,118.25,648.50,1038.71,757.02
6028.27,365.13,121.28,664.24,1045.47,754.77
5799.79,363.80,120.07,645.18,1027.50,761.79
6041.61,363.78,119.44,663.32,1034.51,751.70
5772.70,364.81,119.53,642.75,1038.42,753.62
5914.70,363.64,119.89,645.09,1046.70,753.00
6242.59,365.85,119.30,644.35,1027.28,752.21
5985.30,361.70,119.03,645.32,1050.60,779.14
6149.78,364.98,119.20,672.92,1035.70,804.39
6250.46,376.47,123.63,700.27,1032.33,774.72
8208.90,528.98,202.10,977.11,1155.44,879.42
7392.56,371.68,123.04,666.84,1047.28,788.04
6122.69,368.33,119.87,660.65,1040.46,769.32
6160.89,370.76,120.57,650.28,1036.81,781.83
6106.33,368.50,125.26,653.26,1032.02,767.61
6871.92,393.93,132.00,707.30,1121.43,836.11
6281.69,370.35,123.92,661.08,1033.13,769.03
5906.89,368.22,121.49,655.08,1033.90,760.53
5959.00,377.10,123.42,680.70,1053.24,788.69
6055.26,368.01,121.78,660.40,1033.51,760.33
